manuscript_item,panel,source_file,local_snapshot,row_key_or_filter,transformation,evidence_type,source_sha256
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/snapshots/expired_unarmed_cancelled/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/expired_unarmed_cancelled/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""expired_unarmed_cancelled"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/snapshots/cancelled_replay_no_dispatch/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/cancelled_replay_no_dispatch/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""cancelled_replay_no_dispatch"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,e0cabf8e2eacc73e160d7b744fb0d9857ed2a7a87bc75ae0fccd98dad2bd98d9
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/snapshots/cancelled_replay_no_dispatch/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/cancelled_replay_no_dispatch/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""cancelled_replay_no_dispatch"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/snapshots/released_budget_reused/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/released_budget_reused/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""released_budget_reused"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,9c744aeb80dec7815142f9ceed6bea77142c4008148b7c51adcd7a9a8037debc
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/snapshots/released_budget_reused/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/released_budget_reused/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""released_budget_reused"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,0e245d61d3bd2761f3a322b0c73fe9fb3848f877b6d0f1b924b3665061a44f9d
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/snapshots/final/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/final/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""final"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,9c744aeb80dec7815142f9ceed6bea77142c4008148b7c51adcd7a9a8037debc
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/snapshots/final/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/final/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""final"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,0e245d61d3bd2761f3a322b0c73fe9fb3848f877b6d0f1b924b3665061a44f9d
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/current_final/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""current_final"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed final DB,e73489b650e37a99d200a0b63bbe7139d4c24005660e63a5c781070b7a87bc26
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ecrc/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ecrc/current_final/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""current_final"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed final DB,ef8cce9a9d7e300156705b4e5996baf33f65dfbff727e3b4e70e4d5702887332
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/snapshots/issued_unarmed_before_expiry/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/issued_unarmed_before_expiry/client.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""issued_unarmed_before_expiry"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,0b4627bbbd5525576eeebdcf757ea98ace46fc124a0952b5dfb0925b383cc453
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/snapshots/issued_unarmed_before_expiry/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/issued_unarmed_before_expiry/sink.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""issued_unarmed_before_expiry"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/snapshots/expired_unarmed_cancelled/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/expired_unarmed_cancelled/client.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""expired_unarmed_cancelled"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,a01fc5b1237219861999571f9f4bf7ce74296679e65a6d750a7d761c7f72c7f6
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/snapshots/expired_unarmed_cancelled/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/expired_unarmed_cancelled/sink.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""expired_unarmed_cancelled"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/snapshots/cancelled_replay_no_dispatch/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/cancelled_replay_no_dispatch/client.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""cancelled_replay_no_dispatch"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,a01fc5b1237219861999571f9f4bf7ce74296679e65a6d750a7d761c7f72c7f6
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/snapshots/cancelled_replay_no_dispatch/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/cancelled_replay_no_dispatch/sink.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""cancelled_replay_no_dispatch"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/snapshots/released_budget_reused/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/released_budget_reused/client.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""released_budget_reused"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,2c1bdd4050412656c12abd35daa4d6f73a728315fbd7c617f7c003c14b885df3
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/snapshots/released_budget_reused/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/released_budget_reused/sink.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""released_budget_reused"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,8fb4aa121a395bca3659156ab2db42a92cd856a09200264332035e51fd220156
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/snapshots/final/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/final/client.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""final"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,2c1bdd4050412656c12abd35daa4d6f73a728315fbd7c617f7c003c14b885df3
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/snapshots/final/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/final/sink.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""final"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,8fb4aa121a395bca3659156ab2db42a92cd856a09200264332035e51fd220156
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/current_final/client.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""current_final"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed final DB,fab538cbb3014129f57b2a7b0102459710a62a79bb54b73c2dd4c4d572c4a2cb
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-0/ordinary/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-0/ordinary/current_final/sink.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""current_final"", ""rep"": 0, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed final DB,004dcb71ce5019ff24235ec9da7b128753d0b15aad7175408de04789d05c9bb5
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/snapshots/issued_unarmed_before_expiry/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/issued_unarmed_before_expiry/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""issued_unarmed_before_expiry"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,b398d09d784f1a35e85dcf0ae932d30fd11fe72b1ae12e2e43099dd5fefb6bcc
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/snapshots/issued_unarmed_before_expiry/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/issued_unarmed_before_expiry/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""issued_unarmed_before_expiry"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/snapshots/expired_unarmed_cancelled/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/expired_unarmed_cancelled/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""expired_unarmed_cancelled"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,e0cabf8e2eacc73e160d7b744fb0d9857ed2a7a87bc75ae0fccd98dad2bd98d9
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/snapshots/expired_unarmed_cancelled/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/expired_unarmed_cancelled/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""expired_unarmed_cancelled"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/snapshots/cancelled_replay_no_dispatch/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/cancelled_replay_no_dispatch/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""cancelled_replay_no_dispatch"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,e0cabf8e2eacc73e160d7b744fb0d9857ed2a7a87bc75ae0fccd98dad2bd98d9
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/snapshots/cancelled_replay_no_dispatch/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/cancelled_replay_no_dispatch/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""cancelled_replay_no_dispatch"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/snapshots/released_budget_reused/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/released_budget_reused/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""released_budget_reused"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,facd09f27f72cee46c1434fb859e94fefe445f335b6b4734f92bf55ef4f84913
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/snapshots/released_budget_reused/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/released_budget_reused/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""released_budget_reused"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,9a2076d471cbb2d1bc72369820da80634f83d602b590649ff2c0e7446024aa08
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/snapshots/final/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/final/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""final"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,facd09f27f72cee46c1434fb859e94fefe445f335b6b4734f92bf55ef4f84913
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/snapshots/final/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/final/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""final"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,9a2076d471cbb2d1bc72369820da80634f83d602b590649ff2c0e7446024aa08
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/current_final/client.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""current_final"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed final DB,f854885a562786f22f1b34d6b46bd91b156f42b1cfb0d744896796ed24ccb31c
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ecrc/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ecrc/current_final/sink.sqlite,"{""implementation"": ""ecrc"", ""phase"": ""current_final"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed final DB,f247685badb7adf492e1e2d45d69a417aca658bda75c87de312ce91dec799ce2
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ordinary/snapshots/issued_unarmed_before_expiry/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ordinary/issued_unarmed_before_expiry/client.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""issued_unarmed_before_expiry"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,0b4627bbbd5525576eeebdcf757ea98ace46fc124a0952b5dfb0925b383cc453
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ordinary/snapshots/issued_unarmed_before_expiry/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ordinary/issued_unarmed_before_expiry/sink.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""issued_unarmed_before_expiry"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ordinary/snapshots/expired_unarmed_cancelled/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ordinary/expired_unarmed_cancelled/client.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""expired_unarmed_cancelled"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,a01fc5b1237219861999571f9f4bf7ce74296679e65a6d750a7d761c7f72c7f6
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ordinary/snapshots/expired_unarmed_cancelled/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ordinary/expired_unarmed_cancelled/sink.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""expired_unarmed_cancelled"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ordinary/snapshots/cancelled_replay_no_dispatch/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ordinary/cancelled_replay_no_dispatch/client.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""cancelled_replay_no_dispatch"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,a01fc5b1237219861999571f9f4bf7ce74296679e65a6d750a7d761c7f72c7f6
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ordinary/snapshots/cancelled_replay_no_dispatch/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ordinary/cancelled_replay_no_dispatch/sink.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""cancelled_replay_no_dispatch"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,fdf40b13f9968f5955cae88ded8c21aef1ae4244e8a3c43be5885b5b02c992db
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ordinary/snapshots/released_budget_reused/client.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ordinary/released_budget_reused/client.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""released_budget_reused"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,22676db82207a80d77498e07032b1620bb5e722de3301b0ff298486e0df1e5d4
Figure 3,a,AIR-014_IASC_Reproducibility/end_to_end/out/expired_unarmed_cleanup/rep-1/ordinary/snapshots/released_budget_reused/sink.sqlite,data/input/s8/expired_unarmed_cleanup/rep-1/ordinary/released_budget_reused/sink.sqlite,"{""implementation"": ""ordinary"", ""phase"": ""released_budget_reused"", ""rep"": 1, ""scenario"": ""expired_unarmed_cleanup""}",Direct counts/sums from copied SQLite state; all 2 implementations x 3 repetitions; no run selection.,saved observed checkpoint,2b3f2f2451d8c9c2689aa6d324683106969b14fef6ef23dd9901a6f5b0ac3545
