manuscript_item,source_file,row_key,transformation,evidence_status
Table 5B,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=many_labs_igt; model_name=history_baseline; metric=alert_coverage; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
Table 5B volumes,statistics/input/a4_permission_grid.csv,"dataset_id=many_labs_igt; model_name=history_baseline; arm in (separate_capacity_8_2, capacity_off)",Read n_alert and n_review; display fixed-to-removed integer totals. Cross-check n_alert and pooled precision against S7 arm estimates.,Retained result; independently selected/recomputed
Table 5A,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=mendeley_igt_official_v2; model_name=hist_gradient_boosting; metric=alert_precision; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
Table 5B,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=mendeley_igt_official_v2; model_name=hist_gradient_boosting; metric=alert_coverage; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
Table 5B volumes,statistics/input/a4_permission_grid.csv,"dataset_id=mendeley_igt_official_v2; model_name=hist_gradient_boosting; arm in (separate_capacity_8_2, capacity_off)",Read n_alert and n_review; display fixed-to-removed integer totals. Cross-check n_alert and pooled precision against S7 arm estimates.,Retained result; independently selected/recomputed
Table 5A,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=mendeley_igt_official_v2; model_name=regularised_logistic; metric=alert_precision; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
Table 5B,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=mendeley_igt_official_v2; model_name=regularised_logistic; metric=alert_coverage; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
Table 5B volumes,statistics/input/a4_permission_grid.csv,"dataset_id=mendeley_igt_official_v2; model_name=regularised_logistic; arm in (separate_capacity_8_2, capacity_off)",Read n_alert and n_review; display fixed-to-removed integer totals. Cross-check n_alert and pooled precision against S7 arm estimates.,Retained result; independently selected/recomputed
Table 5A,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=mendeley_igt_official_v2; model_name=history_baseline; metric=alert_precision; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
Table 5B,statistics/out/paired_comparisons.csv,analysis=capacity_removal; dataset_id=mendeley_igt_official_v2; model_name=history_baseline; metric=alert_coverage; reference=fixed_8_2; comparison=capacity_removed,"Read pooled_difference and common_macro_difference with existing paired percentile CI; format to three decimals, except the small positive external-HGB precision lower bound to five decimals. No bootstrap rerun.",Retained result; independently selected/recomputed
Table 5B volumes,statistics/input/a4_permission_grid.csv,"dataset_id=mendeley_igt_official_v2; model_name=history_baseline; arm in (separate_capacity_8_2, capacity_off)",Read n_alert and n_review; display fixed-to-removed integer totals. Cross-check n_alert and pooled precision against S7 arm estimates.,Retained result; independently selected/recomputed
Table 3,end_to_end/out/outcomes.csv,all scenario/rep/arm keys,Count unique scenarios/repetitions/implementations and rows.,Retained result; independently selected/recomputed
Table 3,runtime/out/recovery_results.csv,all scenario/rep/arm keys,Count unique scenarios/repetitions/implementations and rows.,Retained result; independently selected/recomputed
Table 3,figures/data/fig1_fig4/upstream/icair_2026/framework_v1/evidence_bridge/bridge_summary.json,n_predictions; n_participants; runtime_database_retained,Read retained summary; explicitly disclose absent runtime database.,Retained result; independently selected/recomputed
Table 3,supplement/Data_S5_validator_cases.csv,all case_id keys,Count archived fault records.,Retained result; independently selected/recomputed
Table 3,supplement/Data_S5_clean_trace.csv,unit=one_complete_clean_trace,Read trace/permit/receipt counts.,Retained result; independently selected/recomputed
Table 3,statistics/out/arm_estimates.csv,capacity_removal; HGB; fixed_8_2; alert_precision; each cohort,Read cohort participant and decision counts; shared inventory across generators verified by S7.,Retained result; independently selected/recomputed
Table 2 O1,end_to_end/ecrc_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O1,end_to_end/ordinary_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O1,end_to_end/audit_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O1,end_to_end/ordinary_e2e_dev_checks.json,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O2,end_to_end/ecrc_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O2,end_to_end/ordinary_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O2,end_to_end/run_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O2,revision_reviews/runtime_review/WRAPPER_QA_PORTABLE_RESULT.json,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O3,end_to_end/ordinary_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O3,end_to_end/legacy_snapshot/source_snapshot/agentic_eeg_dm/governance/adjudicator.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O3,end_to_end/audit_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O3,supplement/Data_S5_validator_cases.csv,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O4,runtime/ecrc_adapter.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O4,runtime/ordinary_adapter.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O4,runtime/service.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O4,runtime/test_service.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O4,end_to_end/audit_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O5,end_to_end/ecrc_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O5,end_to_end/ordinary_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O5,end_to_end/run_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O5,revision_reviews/runtime_review/WRAPPER_QA_PORTABLE_RESULT.json,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O6,runtime/ecrc_adapter.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O6,runtime/ordinary_adapter.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O6,runtime/out/recovery_results.csv,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O6,runtime/test_ordinary_adapter.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O6,runtime/test_ecrc_adapter_peer.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
Table 2 O6,end_to_end/audit_e2e.py,Named implementation methods / checks detailed in table2_obligation_sources.md,"Source inspection and scope mapping; violation consequences are explanatory, not measured removal-ablations.",Specified obligation and retained bounded checks; no sufficiency/necessity theorem
